model,p,db,c_gt,c_estimated,c_estimated_ndg_decoder
LSTM,0.01,-20,0.00498,0.00577,
LSTM,0.0316,-15,0.01556,0.01643,
LSTM,0.1,-10,0.04766,0.04878,
LSTM,0.316,-5,0.1373,0.13912,
LSTM,1,0,0.34657,0.34476,
LSTM,3.162,5,0.713,0.69702,
LSTM,10,10,1.19895,1.15536,
LSTM,31.62,15,1.74246,1.72937,
Decoder,0.01,-20,0.00498,0.00707,0.008792
Decoder,0.0316,-15,0.01556,0.01743,0.01918
Decoder,0.1,-10,0.04766,0.05013,0.0508
Decoder,0.316,-5,0.1373,0.13975,0.1404
Decoder,1,0,0.34657,0.34539,0.3423
Decoder,3.162,5,0.713,0.70401,0.7257
Decoder,10,10,1.19895,1.20181,1.154
Decoder,31.62,15,1.74246,1.72869,1.852